Subject,Course Number,Course Name
CS,CS 533,Parallel Computer Architecture
CS,CS 536,Fault-Tolerant Dig Syst Design
CS,CS 538,Advanced Computer Networks
CS,CS 539,Distributed Algorithms
CS,CS 541,Computer Systems Analysis
CS,CS 543,Computer Vision
CS,CS 544,Optimiz in Computer Vision
CS,CS 546,Advanced Topics in Natural Language Processing
CS,CS 547,Deep Learning
CS,CS 548,Models of Cognitive Processes
CS,CS 549,Seminar in Cognitive Science
CS,CS 554,Parallel Numerical Algorithms
CS,CS 555,Numerical Methods for PDEs
CS,CS 556,Iterative & Multigrid Methods
CS,CS 558,Topics in Numerical Analysis
CS,CS 563,Advanced Computer Security
CS,CS 565,Human-Computer Interaction
CS,CS 571,Combinatorial Mathematics
CS,CS 572,Extremal Graph Theory
CS,CS 573,Algorithms
CS,CS 574,Randomized Algorithms
CS,CS 575,Methods of Combinatorics
CS,CS 576,Topics in Automated Deduction
CS,CS 579,Computational Complexity
CS,CS 581,Algorithmic Genomic Biology
CS,CS 583,Approximation Algorithms
CS,CS 584,Embedded System Verification
CS,CS 585,Hardware Verification
CS,CS 586,Combinatorial Optimization
CS,CS 591,Advanced Seminar
CS,CS 597,Individual Study
CS,CS 598,Special Topics
CS,CS 599,Thesis Research
CS,CS 545,Machine Learning for Signal Processing
CS,CS 265,Innovation Illinois: From Accessible Design to Supercomputing Cultures
CS,CS 434,Mobile Computing & Application
CS,CS 582,Machine Learning for Bioinformatics
CS,CS 124,Introduction to Computer Science I
CS,CS 128,Introduction to Computer Science II
CS,CS 211,Ethical and Professional Conduct
CS,CS 222,Software Design Lab
CS,CS 277,Algorithms and Data Structures for Data Science
CS,CS 307,Modeling and Learning in Data Science
CS,CS 400,Accelerated Fundamentals of Computing I
CS,CS 401,Accelerated Fundamentals of Algorithms I
CS,CS 402,Accelerated Fundamentals of Computing II
CS,CS 403,Accelerated Fundamentals of Algorithms II
CS,CS 407,Cryptography
CS,CS 409,The Art of Web Programming
CS,CS 416,Data Visualization
CS,CS 417,Virtual Reality
CS,CS 435,Cloud Networking
CS,CS 437,Topics in Internet of Things
CS,CS 441,Applied Machine Learning
CS,CS 448,Audio Computing Laboratory
CS,CS 464,Topics in Societal and Ethical Impacts of Computer Technology
CS,CS 474,Logic in Computer Science
CS,CS 500,Current Topics in Computing Education Research
CS,CS 514,Advanced Topics in Network Science
CS,CS 521,Advanced Topics in Programming Systems
CS,CS 534,Advanced Topics in Computer Architecture
CS,CS 537,Advanced Topics in Internet of Things (IoT)
CS,CS 540,Deep Learning Theory
CS,CS 542,Statistical Reinforcement Learning
CS,CS 562,"Advanced Topics in Security, Privacy, and Machine Learning"
CS,CS 567,Social Signals and Social Media
CS,CS 580,Topics in Algorithmic Game Theory
CS,CS 588,Autonomous Vehicle System Engineering
CS,CS 340,Introduction to Computer Systems
CS,CS 341,System Programming
CS,CS 415,Game Development
CS,CS 442,Trustworthy Machine Learning
CS,CS 443,Reinforcement Learning
CS,CS 444,Deep Learning for Computer Vision
CS,CS 469,Computational Advertising Infrastructure
CS,CS 470,Social and Information Networks
CS,CS 507,Topics in Cryptography
CS,CS 568,User-Centered Machine Learning
