Subject,Course Number,Course Name
PS,PS480,Energy and Security
HIST,HIST527,Research Seminar: Japan
BADM,BADM575,Systems Modeling & Simulation
EDPR,EDPR432,Ed Prac in EC & ELED
HDFS,HDFS301,Infancy & Early Childhood
MUS,MUS196,Euphonium
CI,CI567,Child Lit in the School Curr
HORT,HORT293,Off-Campus Horticulture Internship
ECON,ECON101,Introduction to Economics
MUSC,MUSC500,Graduate Recital
MSE,MSE495,Materials Design
SOC,SOC490,Advanced Independent Study
MSE,MSE581,Advanced Electron Microscopy
DANC,DANC109,Ballet III
MATH,MATH124,Finite Mathematics
REL,REL437,Religion in American Cinema
CWL,CWL250,Grimms' Fairy Tales - ACP
CEE,CEE418,Public Transportation Systems
ART,ART206,Mining the University/Community
ME,ME402,Design of Thermal Systems
SOCW,SOCW520,Social Welfare Planning
GSD,GSD103,The Basics of Game Design
ANTH,ANTH288,American Indians of Illinois
TSM,TSM295,Undergrad Research or Thesis
ESE,ESE439,Biogeography
AIS,AIS357,Literatures of the Displaced
EPOL,EPOL573,Strategic Human Resource Development
LLS,LLS435,Commodifying Difference
CI,CI484,Learning Technologies
FSHN,FSHN199,Undergraduate Open Seminar
HIST,HIST344,Early Modern British Isles
BDI,BDI367,Data Visualization and Communication
CEE,CEE421,Construction Planning
LAW,LAW670,Elder Law
EALC,EALC365,Contemporary Korean Society
SCAN,SCAN101,Beginning Scandinavian I
ABE,ABE425,Engrg Measurement Systems
ARCH,ARCH210,Introduction to the History of World Architecture
ASRM,ASRM101,Introduction to Actuarial Science
KIN,KIN460,Technology & Pedagogical KINES
MUS,MUS313,The History of Music I
DANC,DANC259,Contact Improv for Act/Mus/Dan
MUS,MUS483,Violin
BIOE,BIOE486,Applied Deep Learning for Biomedical Imaging
THEA,THEA478,Acting Studio IV: Acting
EPOL,EPOL395,Independent Study
NRES,NRES500,Graduate Seminar
SOC,SOC470,Social Movements
EOL,EOL583,Student Affairs Admin
IE,IE361,Production Planning & Control
PSYC,PSYC558,Attitudes
UP,UP116,Urban Informatics I
MACS,MACS481,Advanced Filmmaking Studio
PHYS,PHYS325,Classical Mechanics I
PSYC,PSYC321,Human Memory
JAPN,JAPN490,Readings in Japanese Lit
CB,CB434,Pesticide Toxicology
MATH,MATH527,Homotopy Theory
EOL,EOL548,Political & Cultural Context of Education
CPSC,CPSC527,Weed Science and Management
GWS,GWS226,Black Women Contemp US Society
ADV,ADV497,Colloquium in Advertising
HIST,HIST284,Af Am Urban Hist Since 1917
SOC,SOC160,Global Ineq and Social Change
ANTH,ANTH106,Hist Arch Americas
MUS,MUS192,Saxophone
LAT,LAT101,Elementary Latin I
ECE,ECE422,Computer Security I
GGIS,GGIS101,Global Development & Environment
NRES,NRES441,Biogeography
AE,AE482,Introduction to Robotics
